NAME,suffix,lon,lat
Sankt Corneli,Sankt-,-284599.525,240777.163
Sankt Georgen,Sankt-,-207058,213177
Sankt Michael,Sankt-,-141729.026,223608.417
Sankt Georgen,Sankt-,-34688,238786
Sankt Georgen am Fillmannsbach,Sankt-,-23497,332045
Sankt Peter am Hart,Sankt-,-17591,346257
Sankt Ulrich,Sankt-,-5972,319604
Sankt Laurenz,Sankt-,-7694,345028
Sankt Gilgen,Sankt-,2474,292019
Sankt Georgen im Gailtal,Sankt-,20207,162716
Sankt Martiner Aineckhütte,Sankt-,24503.344,214769.376
Sankt Margarethen im Lungau,Sankt-,27508,215689
Sankt Aegidi,Sankt-,29903,371307
Sankt Oswald bei Haslach,Sankt-,51496,387024
Sankt Stefan,Sankt-,56385,176538
Sankt Georgen ob Murau,Sankt-,58201,218755
Sankt Margarethen,Sankt-,66766,157735
Sankt Nikolai,Sankt-,67367,161661
Sankt Nikola,Sankt-,68566,316171
Sankt Ruprecht,Sankt-,75113,164119
Sankt Georgen an der Gusen,Sankt-,82740,348706
Sankt Martin,Sankt-,85834.509,173311.878
Sankt Peter,Sankt-,88422,164208
Sankt Valentin,Sankt-,89276,338098
Sankt Kanzian am Klopeiner See,Sankt-,95248,164784
Sankt Margarethen ob Töllerberg,Sankt-,94872,171501
Klein Sankt Veit,Sankt-,92689,176923
Sankt Johann am Pressen,Sankt-,95154,203881
Sankt Lorenzen,Sankt-,97237,166622
Sankt-Bernhardi-Hütte,Sankt-,106198.517,242687.239
Mitter Sankt Thomas,Sankt-,106910.164,353284.596
Bad Sankt Leonhard im Lavanttal,Sankt-,110837,203698
Sankt Marein bei Knittelfeld,Sankt-,115534,237728
Sankt Martha,Sankt-,115066,238630
Sankt Georgen am Reith,Sankt-,115683,301338
Sankt Jakob,Sankt-,119137.773,384915.395
Sankt Laurenti,Sankt-,124603,263783
Sankt Martin am Ybbsfelde,Sankt-,125447,337611
Sankt Oswald in Freiland,Sankt-,134738,195960
Sankt Oswald ob Eibiswald,Sankt-,138593,175815
Sankt Stefan ob Stainz,Sankt-,146408,200750
Sankt Sebastian,Sankt-,148317,295439
Sankt Martin,Sankt-,156264.386,212805.535
Sankt Lorenzen im Mürztal,Sankt-,153594,262384
Sankt Michael,Sankt-,156014,361376
Sankt Veit,Sankt-,157723,221742
Sankt Gotthard,Sankt-,157898,221125
Sankt Leonhard,Sankt-,161943,217699
Sankt Georgen an der Stiefing,Sankt-,171205,195414
Sankt Anna,Sankt-,177176,201119
Sankt Andrä an der Traisen,Sankt-,176829,353866
Sankt Johann,Sankt-,182254.681,365071.226
Sankt Kind,Sankt-,198346,215351
Sankt Peter am Wechsel,Sankt-,202029,271494
Sankt Ulrich,Sankt-,254495,391814
Sankt Gallenkirch,Sankt-,-255318,214530
Sankt Quirin,Sankt-,-160399,233552
Sankt Oswald,Sankt-,-65059.525,177965.943
Sankt Ulrich am Pillersee,Sankt-,-57317.782,265935.555
Sankt Martin bei Lofer,Sankt-,-47107,269865
Sankt Georgen,Sankt-,-37000.511,186998.188
Sankt Leonhard,Sankt-,-21575,287576
Sankt Lorenz,Sankt-,1775,298233
Sankt Martin im Innkreis,Sankt-,7930,350622
Sankt Wolfgang,Sankt-,13409,185191
Sankt Georgen im Attergau,Sankt-,11806,310601
Sankt Marienkirchen am Hausruck,Sankt-,18385,338179
Sankt Nikolai,Sankt-,21899,203404
Sankt Martin,Sankt-,24456,217977
Sankt Willibald,Sankt-,26142,358161
Sankt Peter in Tweng,Sankt-,30082,184539
Sankt Johann,Sankt-,52983,158373
Sankt Martin im Mühlkreis,Sankt-,52229,364481
Sankt Nikolai,Sankt-,56630,172007
Sankt Stefan am Walde,Sankt-,56813,381342
Sankt Lorenzen ob Murau,Sankt-,57733,218113
Sankt Anna,Sankt-,64449,163560
Klein Sankt Veit,Sankt-,63800,173411
Sankt Peter am Kammersberg,Sankt-,64683,227929
Sankt Gandolf,Sankt-,66430.128,174765.605
Sankt Egidi,Sankt-,64896,219486
Sankt Gandolf,Sankt-,69533,158149
Sankt Isidor,Sankt-,69291,347742
Sankt Veiter Vorstadt,Sankt-,73957,166574
Sankt Johann,Sankt-,86885,167997
Sankt Martin am Silberberg,Sankt-,92317,205873
Sankt Peter ob Judenburg,Sankt-,95083,228185
Sankt Wolfgang,Sankt-,98823,218390
Sankt Anna am Lavantegg,Sankt-,102949,212050
Sankt Peter am Wallersberg,Sankt-,103991,169216
Ober Sankt Thomas,Sankt-,105014,354811
Unter-Sankt Georgen,Sankt-,113378.605,357351.27
Sankt Margarethen bei Knittelfeld-Siedlung,Sankt-,115030,232752
Sankt Benedikten,Sankt-,117423,234735
Sankt Leonhard am Wald,Sankt-,115061,318539
Sankt Hemma,Sankt-,125660.778,210650.047
Sankt Oswald,Sankt-,126711,349149
Sankt Johann,Sankt-,130634,216879
Sankt Anna ob Schwanberg,Sankt-,139611,180452
Sankt Pankrazen,Sankt-,140548.677,223626.927
Sankt Sebastian,Sankt-,147826,208763
Sankt Johann,Sankt-,151849.407,367106.348
Sankt Veit,Sankt-,155341,223046
Sankt Marein im Mürztal,Sankt-,153580,261537
Sankt Marein,Sankt-,159520,396219
Sankt Peter,Sankt-,162777,215095
Sankt Georgen am Steinfelde,Sankt-,169568,335988
Lind bei Sankt Veit am Vogau,Sankt-,176437,180448
Sankt Nikolai ob Draßling,Sankt-,177666,188763
Sankt Jakob im Walde,Sankt-,185063,261524
Perbersdorf bei Sankt Peter,Sankt-,188018,188198
Sankt Christophen,Sankt-,189902,340505
Sankt Lorenzen am Wechsel,Sankt-,197684,259327
Sankt Wolfgang,Sankt-,200391.243,278048.237
Sankt Valentin-Landschach,Sankt-,201770.955,286482.703
Sankt Wolfgang,Sankt-,222671,269078
Sankt Andrä am Zicksee,Sankt-,270126,300137
Sankt Anton am Arlberg,Sankt-,-232397,225946
Sankt Jakob am Arlberg,Sankt-,-230825,227144
Sankt Leonhard im Pitztal,Sankt-,-188761,217077
Sankt Petersberg,Sankt-,-183531.494,237953.23
Sankt Michael,Sankt-,-132767.06,244101.377
Sankt Margarethen,Sankt-,-118207,249940
Sankt Veit in Defereggen,Sankt-,-69221.312,198810.898
Sankt Alban,Sankt-,-25430,316043
Sankt Georgen an der Mattig,Sankt-,-16974,341494
Sankt Ulrich,Sankt-,-7188,346206
Sankt Michael im Lungau,Sankt-,23214,217793
Sankt Agatha,Sankt-,23351,276208
Sankt Pius,Sankt-,32115.875,356094.693
Sankt Job,Sankt-,36927,156725
Sankt Wolfgang,Sankt-,44857,388213
Sankt Pankraz,Sankt-,65635,292146
Sankt Blasien,Sankt-,67632,320417
Sankt Leonhard,Sankt-,70610,177755
Sankt Magdalena,Sankt-,71938,355787
Sankt Jakob an der Straße,Sankt-,78764,166135
Sankt Salvator,Sankt-,77953,203868
Sankt Marein bei Neumarkt,Sankt-,83195,214713
Sankt Lorenzen bei Scheifling,Sankt-,81396,223515
Sankt Veit in der Gegend,Sankt-,85186,210720
Sankt Michael ob der Gurk,Sankt-,89794.434,171923.024
Sankt Pantaleon,Sankt-,91827,342183
Sankt Gallen,Sankt-,96354,284541
Sankt Peter in der Au-Dorf,Sankt-,96179.744,324643.617
Sankt Stefan,Sankt-,99595,173298
Sankt Georgen im Lavanttal,Sankt-,121036,176663
Sankt Bartlmä,Sankt-,138943,170774
Sankt Nikolai im Sausal,Sankt-,161567,189134
Sankt Veit an der Gölsen,Sankt-,174234,325371
Sankt Marein bei Graz-Markt,Sankt-,179035.779,211530.744
Sankt Georgen,Sankt-,177686,247236
Sankt Johann bei Herberstein,Sankt-,188401,233595
Sankt Corona am Schöpfl,Sankt-,193026,328611
Sankt Michael im Burgenland,Sankt-,222787,225081
Sankt Georgen am Leithagebirge,Sankt-,240949,306910
Sankt Gerold,Sankt-,-266276,237121
Sankt Leonhard,Sankt-,-262645.891,228746.231
Sankt Georgen,Sankt-,-208546.296,225313.708
Sankt Margarethen,Sankt-,-197320,228184
Sankt Georgen,Sankt-,-170715,244167
Sankt Margaretha,Sankt-,-141961,224464
Sankt Gertraudi,Sankt-,-111940,253540
Sankt Johann im Walde,Sankt-,-53754.583,196109.413
Sankt Koloman,Sankt-,-9675,278247
Sankt Thomas,Sankt-,11140,337404
Sankt Marienkirchen bei Schärding,Sankt-,8759,361173
Sankt Oswald,Sankt-,32731,188821
Sankt Andrä im Lungau,Sankt-,34887,223463
Sankt Agatha,Sankt-,40408,360966
Sankt Leonhard,Sankt-,41476,379636
Sankt Marienkirchen an der Polsenz,Sankt-,44388,347477
Sankt Ulrich im Mühlkreis,Sankt-,52663,370655
Sankt Peter,Sankt-,64700,169990
Sankt Andrä,Sankt-,66124,193439
Sankt Martin,Sankt-,69347,344417
Sankt Martin,Sankt-,72537,165425
Sankt Peter,Sankt-,76624,164968
Sankt Michael am Zollfeld,Sankt-,79980,175921
Sankt Lorenzen im Paltental,Sankt-,84538,262372
Sankt Helen,Sankt-,88823,211156
Sankt Veit im Jauntal,Sankt-,92386,161124
Sankt Primus,Sankt-,94419,160698
Altenmarkt bei Sankt Gallen,Sankt-,98778.408,288145.265
Sankt Michael am Bruckbach,Sankt-,95644.018,320432.396
Sankt Johann in Engstetten,Sankt-,95617.556,326969.761
Sankt Georgen in der Klaus,Sankt-,102138,317505
Sankt Lorenzen,Sankt-,106623,168567
Sankt Thomas,Sankt-,114058,188594
Sankt Margarethen bei Knittelfeld,Sankt-,115400,233311
Sankt Martin am Wöllmißberg,Sankt-,134657,209480
Sankt Katharein an der Laming,Sankt-,137915,260778
Sankt Johann ob Hohenburg,Sankt-,144032,209560
Sankt Ruprecht,Sankt-,145189,253462
Neudorf bei Sankt Johann ob Hohenburg,Sankt-,146605,210870
Sankt Ulrich in Greith,Sankt-,152045,176943
Sankt Martin im Sulmtal,Sankt-,150089,181555
Sankt Andrä im Sausal,Sankt-,156127,185589
Sankt Ulrich am Waasen,Sankt-,168292,203496
Perbersdorf bei Sankt Veit,Sankt-,179156,182667
Sankt Ruprecht an der Raab,Sankt-,176681,226507
Neudorf bei Sankt Ruprecht an der Raab,Sankt-,177251.704,228609.642
Sankt Anna am Aigen,Sankt-,201514,191288
Sankt Johann am Steinfelde,Sankt-,201303,290712
Sankt Lorenzen am Steinfelde,Sankt-,202726,292665
Sankt Andrä vor dem Hagenthale,Sankt-,213178,357675
Sankt Martin in der Wart,Sankt-,219812,244084
Unter Sankt Veit,Sankt-,219609,343091
Sankt Margarethen-Berg,Sankt-,247987,300705
Sankt Wendelin,Sankt-,-189747,245686
Sankt Martin,Sankt-,-134491.596,243851.56
Sankt Jakob in Defereggen,Sankt-,-76354.868,198026.095
Sankt Johann in Tirol,Sankt-,-68061,265243
Sankt Justina,Sankt-,-56741.843,183127.588
Sankt Georgen bei Salzburg,Sankt-,-33824,317408
Sankt Johann im Pongau,Sankt-,-9668,245556
Sankt Lorenzer Hochalm,Sankt-,1151.913,170896.413
Sankt Georgen bei Obernberg am Inn,Sankt-,61,350505
Sankt Paul,Sankt-,9948,189279
Sankt Peter,Sankt-,17872.673,333907.208
Sankt Georgen,Sankt-,21418,209414
Sankt Roman,Sankt-,20600,371561
Sankt Paul,Sankt-,22969,177838
Sankt Jakob,Sankt-,23233,178494
Sankt Egyden,Sankt-,56167,159874
Sankt Nikolai im Sölktal,Sankt-,53995,242478
Sankt Gotthard im Mühlkreis,Sankt-,59248,360490
Sankt Margarethen,Sankt-,63019,162351
Sankt Martin,Sankt-,62124,176457
Sankt Ulrich,Sankt-,75251,158143
Sankt Stefan,Sankt-,79520,204716
Sankt Stefan am Krappfeld,Sankt-,84904,192633
Sankt Peter,Sankt-,84945.297,374266.409
Sankt Oswald,Sankt-,88876,238251
Sankt Walburgen,Sankt-,92914,181868
Klein Sankt Paul,Sankt-,92220,189264
Sankt Marxen,Sankt-,98832,166547
Sankt Martin,Sankt-,98492,173875
Sankt Georgen in Obdachegg,Sankt-,106840,216563
Sankt Peter im Lavanttal,Sankt-,107344,209110
Sankt Aegidi,Sankt-,113940,316759
Sankt Martin,Sankt-,110977,392932
Sankt Lorenzen bei Knittelfeld,Sankt-,118339,235665
Sankt Michael in Obersteiermark,Sankt-,127650,245676
Sankt Ilgen,Sankt-,138028,269042
Sankt Anton an der Jeßnitz,Sankt-,140046,315286
Sankt Martin,Sankt-,147543,258134
Sankt Gotthard,Sankt-,148862,323762
Sankt Georgen,Sankt-,146737,345717
Sankt Johann im Saggautal,Sankt-,158162,175749
Sankt Bernhard,Sankt-,166582,396620
Sankt Veiter-Viertel,Sankt-,174668,180729
Sankt Veit am Vogau,Sankt-,175214,181189
Grub bei Sankt Ruprecht an der Raab,Sankt-,175339.144,228672.809
Sankt Marein bei Graz-Umgebung,Sankt-,179031.016,211398.981
Fünfing bei Sankt Ruprecht an der Raab,Sankt-,176439,225110
Sankt Egyden am Steinfeld,Sankt-,207566,297359
Sankt Nikolaus,Sankt-,227594,216442
Markt Sankt Martin,Sankt-,232917,274143
Sankt Zeno,Sankt-,-207574,214639
Sankt Peter,Sankt-,-144198,229170
Sankt Leonhard,Sankt-,-103293,258679
Sankt Andrä,Sankt-,-72760.571,209142.471
Sankt Georgen,Sankt-,-33719.747,317377.238
Sankt Pantaleon,Sankt-,-32646,318790
Sankt Peter in Holz,Sankt-,8839,186762
Sankt Wolfgang im Salzkammergut,Sankt-,8628,288815
Sankt Peter,Sankt-,20000,209887
Sankt Rupert,Sankt-,28316,225588
Sankt Georgen bei Grieskirchen,Sankt-,33160,341591
Straß bei Sankt Sixt,Sankt-,31474,366308
Sankt Margarethen,Sankt-,42607,185922
Sankt Kathrein,Sankt-,56856,161016
Sankt Peter am Wimberg,Sankt-,55340,374074
Sankt Ruprecht,Sankt-,59431,176494
Sankt Johann am Wimberg,Sankt-,58946,372508
Sankt Veit im Mühlkreis,Sankt-,61471,370349
Sankt Martin,Sankt-,69049,171315
Sankt Georgen am Sandhof,Sankt-,76417,168830
Sankt Florian,Sankt-,77721,341611
Sankt Klementen,Sankt-,87636,187258
Sankt Johann am Tauern Schattseite,Sankt-,85117,247836
Sankt Peter,Sankt-,84780,376055
Sankt Ruprecht,Sankt-,98826,170208
Sankt Agnes,Sankt-,100919,171373
Sankt Jakob,Sankt-,103882,171945
Sankt Lorenzen,Sankt-,140381,170808
Sankt Peter im Sulmtal,Sankt-,146529,181612
Sankt Oswald bei Plankenwarth,Sankt-,147909,218241
Sankt Leonhard am Forst,Sankt-,145485,335495
Grub bei Groß Sankt Florian,Sankt-,150257,187436
Sankt Josef (Weststeiermark),Sankt-,152682,198678
Sankt Jakob-Breitenau,Sankt-,158347,252416
Sankt Erhard,Sankt-,160224,251880
Sankt Lorenz,Sankt-,158699,363817
Sankt Kathrein am Offenegg,Sankt-,169751.845,242554.602
Sankt Georgen an der Traisen,Sankt-,178214,360950
Sankt Margarethen an der Raab,Sankt-,183163,214406
Sankt Coronastraße,Sankt-,195562.533,325140.109
Sankt Magdalena am Lemberg,Sankt-,204034,234749
Sankt Arbogast,Sankt-,-279181.236,249492.929
Sankt Anton im Montafon,Sankt-,-263262,225397
Sankt Christina,Sankt-,-204956,214871
Sankt Veit,Sankt-,-171357,245154
Sankt Jakob in Haus,Sankt-,-58221,262749
Sankt Florian,Sankt-,-50099.19,174031.008
Sankt Florian,Sankt-,-14305,336328
Sankt Veit im Innkreis,Sankt-,-4295,341165
Sankt Martin am Tennengebirge,Sankt-,3618,258444
Sankt Ulrich,Sankt-,7045,349890
Eben bei Sankt Sixt,Sankt-,32331,365554
Sankt Konrad,Sankt-,41619,308432
Sankt Johann im Rosental,Sankt-,67609,154575
Sankt Dionysen,Sankt-,68528,343305
Sankt Lambrecht,Sankt-,73481,215230
Sankt Johann am Tauern Sonnseite,Sankt-,85839,248196
Sankt Johann am Tauern,Sankt-,85861,247073
Sankt Michael ob der Gurk,Sankt-,89568,172007
Sankt Martin am Krappfeld,Sankt-,88279,186569
Sankt Georgen am Weinberg,Sankt-,93625,173039
Sankt Oswald,Sankt-,95729,187365
Sankt Leonhard bei Freistadt,Sankt-,99511,368169
Sankt Kollmann,Sankt-,109355,173407
Sankt Stefan ob Leoben,Sankt-,124300,243387
Sankt Vinzenz,Sankt-,128581,174362
Sankt Johann im Walde,Sankt-,131196.651,404326.067
Groß Sankt Florian,Sankt-,151342,189039
Sankt Radegund bei Graz,Sankt-,163537,229037
Sankt Margarethen bei Lebring,Sankt-,167060,193777
Sankt Stefan,Sankt-,193148,237143
Sankt Kathrein im Burgenland,Sankt-,233990,226733
Sankt Margarethen im Burgenland,Sankt-,245265,301288
Sankt Christoph am Arlberg,Sankt-,-236676,225656
Sankt Nikolaus,Sankt-,-211992.236,266093.356
Sankt Sigmund im Sellrain,Sankt-,-168930,231689
Sankt Jodok,Sankt-,-139215.955,215520.574
Sankt Jodok am Brenner,Sankt-,-139111,215370
Sankt Kathrein,Sankt-,-141570,221360
Sankt Leonhard,Sankt-,-74297.852,197798.984
Sankt Jakob am Thurn,Sankt-,-17847,289078
Sankt Veit im Pongau,Sankt-,-13679,243364
Sankt Margarethen,Sankt-,-15206,281820
Sankt Johann am Walde,Sankt-,-3606,331427
Sankt Kollmann,Sankt-,9872,331382
Sankt Florian am Inn,Sankt-,8044,366964
Sankt Jakob,Sankt-,28209.039,359325.457
Sankt Thomas,Sankt-,40719,349818
Sankt Lorenzen,Sankt-,45324,191058
Sankt Martin am Grimming,Sankt-,48940,261365
Sankt Ruprecht ob Murau,Sankt-,52546,219369
Sankt Nikola,Sankt-,53339.886,366448
Sankt Ulrich,Sankt-,59415,179471
Sankt Leonhard,Sankt-,64350,338441
Sankt Peter am Bichl,Sankt-,71620,173575
Sankt Leonhard,Sankt-,70889,177706
Sankt Marien,Sankt-,70393,334612
Sankt Blasen,Sankt-,73666,217674
Sankt Veit an der Glan,Sankt-,78366,181374
Sankt Johann,Sankt-,77828,204280
Sankt Georgen,Sankt-,78327,265531
Sankt Thomas,Sankt-,81653,169941
Sankt Lorenzen,Sankt-,83605,169354
Sankt Ulrich bei Steyr,Sankt-,81333,320944
Sankt Georgen bei Neumarkt,Sankt-,84375,214691
Sankt Florian,Sankt-,90527,185284
Sankt Georgen ob Judenburg,Sankt-,88456,230422
Sankt Oswald bei Freistadt,Sankt-,92656,374226
Berg ob Sankt Martin,Sankt-,98814,174068
Sankt Anna-Feriensiedlung,Sankt-,102101,212466
Sankt Stefan,Sankt-,105458,160124
Sankt Leonhard an der Saualpe,Sankt-,104643,184348
Unter Sankt Thomas,Sankt-,105950,352401
Sankt Wolfgang,Sankt-,114083,393773
Sankt Gertraud,Sankt-,117760,193561
Sankt Nikola an der Donau,Sankt-,116912,345016
Sankt Georgen am Ybbsfelde,Sankt-,120685,333628
Sankt Peter-Freienstein,Sankt-,128116,252187
Sankt Dionysen,Sankt-,141317,254650
Sankt Georgen an der Leys,Sankt-,141309,323163
Sankt Bartholomä,Sankt-,146202,216253
Sankt Leonhard am Hornerwald,Sankt-,163348,386909
Sankt Aegyd am Neuwalde,Sankt-,166862,304013
Sankt Pölten,Sankt-,170528,343278
Wolfgruben bei Sankt Ruprecht an der Raab,Sankt-,175238.017,224703.267
Seibersdorf bei Sankt Veit,Sankt-,178106,179833
Arndorf bei Sankt Ruprecht an der Raab,Sankt-,177626.233,227735.813
Sankt Stefan im Rosental,Sankt-,181167.592,198878.386
Sankt Peter am Ottersbach,Sankt-,185228,187349
Sankt Anna,Sankt-,193928,242538
Sankt Johann in der Haide,Sankt-,203758,241465
Sankt Martin an der Raab,Sankt-,213468,201598
Sankt Veit an der Triesting,Sankt-,210882,315091
Ober Sankt Veit,Sankt-,218143,343084
Sankt Johann im Mauerthale,Sankt-,154033.052,357487.369
Sankt Frein,Sankt-,149163.582,335672.317
Gschwend,-schwend,-263158,269711
Bohlengschwend,-schwend,-262547.231,271971.74
Gschwendt,-schwend,7071.929,287049.775
Gschwendthäuser,-schwend,31843,353295
Gschwendthäusl,-schwend,88613.003,300057.555
Gschwend,-schwend,-265501.329,272470.951
Gschwendalpe,-schwend,-253605.987,264798.652
Gschwendwiesalpe,-schwend,-248197.727,262628.509
Gschwendt,-schwend,-68595.683,178544.759
Gschwendthof,-schwend,7685.124,249661.951
Gschwendt,-schwend,48894,363704
Gschwendtmühle,-schwend,133480.493,384193.871
Gschwendt,-schwend,169811,229110
Gschwendt,-schwend,193672,343771
Unterschwende,-schwend,-267265.281,262800.802
Gschwend,-schwend,-264925,262951
Unterschwendt,-schwend,-69675,278600
Obergschwendt,-schwend,39352,353039
Gschwendt,-schwend,38544,361408
Untergschwendt,-schwend,42422,367023
Gschwend,-schwend,148283.63,315853.957
Gschwendt,-schwend,153786,240651
Gschwender,-schwend,194733.034,325396.44
Oberschwende,-schwend,-266956,262952
Gschwend,-schwend,-258681.131,271857.03
Gschwendvorsäß,-schwend,-254998.745,252832.245
Untergschwend,-schwend,-213527,267048
Innergschwend,-schwend,-211295,266619
Kleinschwendberg,-schwend,-112258,229001
Gschwendt,-schwend,-109607.662,252638.573
Gschwendter Kaser,-schwend,-59481.556,183299.825
Gschwendteralm,-schwend,-48889.212,281054.157
Gschwendt,-schwend,-20930,330061
Gschwendt,-schwend,21636,333875
Gschwendt,-schwend,24667.241,372157.401
Gschwendt,-schwend,150097,365657
Gschwendt,-schwend,155580.612,350941.265
Gschwendthof,-schwend,161231,336009
Alberschwende,-schwend,-264073,262880
Roßschwendevorsäß,-schwend,-252498.187,260361.274
Heugschwendalpe,-schwend,-249870.711,264844.209
Gschwendt,-schwend,-91154.598,265670.561
Gschwendt,-schwend,31305,367364
Gschwendt,-schwend,132845,384094
Gschwendt,-schwend,157915,380000
Gschwend,-schwend,-257196,261862
Langschwend,-schwend,-260160.25,267981.746
Altgschwendalpe,-schwend,-253332.631,265668.75
Lindengschwend,-schwend,-255812,271313
Gerisgschwend,-schwend,-247535.868,262301.421
Hochschwendberg,-schwend,-111585.982,230905.587
Rinnerschwendt,-schwend,-108491,262773
Gschwend,-schwend,-88120,273489
Sonnschwendt,-schwend,-75627.838,262400.874
Neuschwendt,-schwend,26433.174,353340.474
Gschwendt,-schwend,28661.879,360368.379
Obergschwendt,-schwend,42456,367499
Gschwendbichl,-schwend,84865.135,314656.866
Gschwendtalpe,-schwend,-265698.713,256496.068
Rickatschwende,-schwend,-267968.863,260367.512
Gschwendle,-schwend,-261212.613,251845.454
Ohlisgschwendalpe,-schwend,-250842.878,264287.909
Alpschwendtalm,-schwend,-70286.632,241591.105
Gschwendt,-schwend,110268.88,341939.521
Allentsgschwendt,-schwend,148465,375390
Gschwendner,-schwend,178648.82,265043.825
Simlisgschwend,-schwend,-256165,270056
Dreißiggschwendenalpen,-schwend,-250963.749,263335.341
Gschwendalpe,-schwend,-248486.982,260089.752
Gschwendt,-schwend,-113215,229919
Alpschwend,-schwend,-70068.762,240399.033
Pfaffenschwendt,-schwend,-56413,259166
Ehrschwendt,-schwend,-29997,326592
Altschwendt,-schwend,26419,354003
Untergschwendt,-schwend,39460,353447
Gschwendtbauer,-schwend,88830.677,300714.319
Dachschwendau,-schwend,16257.404,320715.192
Untergraben,-graben,-11361.474,280125.028
Leobengraben,-graben,23256,198267
Untergraben,-graben,31092,169397
Thongraben,-graben,35907,340807
Schmidgraben,-graben,38844,348383
Hauergraben,-graben,44425,303501
Preingraben,-graben,50266.242,380848.458
Poitschachgraben,-graben,57047.821,179477.206
Altreitgraben,-graben,56972.062,366907.442
Schalchgraben,-graben,65543,291696
Dorngraben,-graben,67808.88,301159.958
Scharnitzgraben,-graben,74969,243029
Jagdschloss Bodinggraben,-graben,79373.066,295176.681
Unterhirschgraben,-graben,80538,371422
Mühlgraben,-graben,86591,159693
Wienergraben,-graben,85898.428,346718.557
Ratteingraben,-graben,89697,200194
Nestelgraben,-graben,88277,240838
Katschniggraben,-graben,94828.432,191901.272
Möschitzgraben,-graben,93749,226474
Gaalgraben,-graben,97725,238289
Ingeringgraben,-graben,101542,239885
Lobenwaldbachgraben,-graben,107761,213123
Lauslingbachgraben,-graben,107358.109,215039.853
Sandgraben,-graben,110915.422,292368.043
Hofgraben,-graben,111312.057,384086.739
Rösslergraben-Schattseite,-graben,118181.238,230332.669
Rachaugraben,-graben,121073,230574
Wendelgraben,-graben,122891,388306
Sallagraben,-graben,128149.272,219032.228
Kothgraben,-graben,128736.727,305839.682
Tischlergraben,-graben,128757.985,315470.101
Engelgraben,-graben,128592.454,322889.485
Oberer Tollinggraben,-graben,130012,252880
Spindelgraben,-graben,132954,412544.561
Gößnitzgraben,-graben,137414.851,211462.889
Freisinggraben,-graben,135228,219452
Groß-Gößgraben,-graben,137336,246263
Kumpelgraben,-graben,138931.716,238112.684
Utschgraben,-graben,142380,251705
Liedelgraben,-graben,148338,219274
Stübinggraben,-graben,147045,230098
Lerchgraben,-graben,149027.368,281862.064
Tiefgraben,-graben,148562.313,320874.705
Brücklergraben,-graben,150995,275041
Brünngraben,-graben,157778,186363
Schildbachgraben,-graben,159162.567,366462.997
Litschgraben,-graben,158335,375614
Tiefenbachgraben,-graben,161124,250516
Kaiblinggraben,-graben,162692,277961
Laimergraben,-graben,164155,323034
Röckergraben,-graben,161606.081,386878.483
Wällischgraben,-graben,164606,302502
Ratschergraben,-graben,171064,175872
Brunngraben,-graben,168886.922,236164.533
Kesselgraben,-graben,173558.574,210459.613
Rehgraben,-graben,176440,223639
Reithgraben,-graben,182711.679,206483.467
Hühnergraben,-graben,187144,202498
Gottesgraben,-graben,185365,229669
Dürrfeistritzgraben,-graben,187305,230037
Buchgraben,-graben,190816,227542
Pöngraben,-graben,191771,223307
Schlaggraben,-graben,192318,278040
Kirchgraben,-graben,200674,279090.454
Kiengraben,-graben,201194.139,282205.827
Lampertsgraben,-graben,204359,196702
Kohlgraben,-graben,204320,215741
Reitgrabenschuster,-graben,206000.735,257048.202
Hottmannsgraben,-graben,205805,274669
Fischergraben,-graben,208945,346052
Edelsgraben,-graben,210960,207787
Limbachgraben,-graben,215873,214240
Heugraben,-graben,216923,223935
Schulgraben,-graben,215833.287,284799.472
Gadigraben,-graben,220362,217139
Rehgraben,-graben,220530,219860
Stanglgraben,-graben,218848,282275
Glasgraben,-graben,225527.419,284953.895
Rinngraben,-graben,227170,223288
Buchgraben,-graben,229902.501,278146.984
Schneidergrabensee,-graben,230553.396,325182.806
Faistenauergraben,-graben,-6998,295865
Hammergraben,-graben,19919,175370
Fludergrabenalm,-graben,30499.787,281879.557
Scheiblgraben,-graben,50967.929,306440.55
Obertiergraben,-graben,49794.22,307151.109
Lackergraben,-graben,53808,305298
Käfergraben,-graben,59813,312059
Pertlgraben,-graben,62439.038,298209.748
Palmgraben,-graben,66770.698,291079.235
Bergwerksgraben,-graben,79561,190553
Haindlgraben,-graben,76930,273256
Paukengraben,-graben,77919,313307
Wurmbachgraben,-graben,79539,312354
Dirngraben,-graben,80714.593,286376.649
Steinbachgraben,-graben,82923,308575
Döllergraben,-graben,82558,311693
Derntlgraben,-graben,83504.814,348981.992
Palsgraben,-graben,85963,234701
Neustiftgraben,-graben,91781,307895
Feistritzgraben,-graben,96152,224875
Stampfgraben,-graben,98630.718,301886.277
Kollergraben,-graben,99711.464,216130.634
Hammergraben,-graben,109078,234337
Feistritzgraben,-graben,112310,204637
Zwiegrabenhütte,-graben,113047.183,263038.731
Brunngraben,-graben,120959.031,327935.791
Schneckengraben,-graben,125652,286858
Übelgraben,-graben,123776,301018
Schimmelgraben,-graben,122429.577,311271.258
Zogelsgraben,-graben,122716,310871
Unterer Tollinggraben,-graben,131281,252551
Krienzgraben,-graben,141172,229295
Dorngraben,-graben,146005,209930
Arzwaldgraben,-graben,147837.098,234686.27
Ratlosgraben,-graben,147151.441,238642.482
Zlattengraben,-graben,148473.791,248379.009
Knappengraben,-graben,148321,280771
